alpha1,alpha2,alpha3
0.6475595,0.3725375,0.0679565
0.6518185,0.3820035,0.1082815
0.6391615,0.1892895,0.14031
0.6252035,0.0984063,0.1967965
0.6111585,0.136417,0.29953
0.5864645,0.136314,0.3738495
0.55145,0.1173625,0.4933235
0.5090315,0.1201095,0.6301395
0.419158,0.20096,0.853346
0.3618345,0.240224,0.638611
0.3365995,0.253604,0.6139285
0.3472605,0.0922454,0.6562015
0.380479,-0.194392,0.6373935
0.4537665,-0.2254835,0.479958
0.5047155,-0.2354915,0.343599
0.521333,-0.289983,0.2935595
0.544145,-0.317829,0.2353565
0.5773265,-0.34822,0.06046785
0.567964,-0.367004,-0.06993475
0.5467015,-0.3344205,-0.13309
0.4957065,-0.2549825,-0.2578165
0.464238,-0.177038,-0.06140915
0.4907745,-0.07704345,0.0771208
0.558044,0.02606025,0.196512
0.599764,0.07775215,0.0312743
0.615428,0.103869,0.003199785
0.596057,0.0807342,0.01827945
0.606632,0.048825,-0.1020645
0.5608525,-0.00332131,0.103198
0.5429405,-0.08649975,0.073063
0.5126185,-0.0929468,0.1613445
0.506791,-0.16511,0.2216325
0.492089,-0.138776,0.2222195
0.4773525,-0.07182325,0.2102635
0.422914,-0.07293045,0.4867455
0.4316185,-0.145751,0.4327565
0.456615,-0.129372,0.3126465
0.448489,-0.1477875,0.2767095
0.4438065,-0.148521,0.3588375
0.446544,-0.1633785,0.4052735
0.448623,-0.174535,0.3892915
0.460761,-0.188232,0.140082
0.4703965,-0.162161,0.102566
0.4915735,-0.113799,-0.0398686
0.5146515,-0.0279724,-0.112815
0.5615545,0.116432,-0.1344785
0.570867,0.233521,-0.248894
0.581794,0.3447755,-0.3082595
0.6141585,0.367736,-0.3236735
0.6317075,0.3393305,-0.320784
0.6328395,0.2645525,-0.2698945
0.6420795,0.266272,-0.1883015
0.6407165,0.1981585,-0.117108
0.627631,0.171043,-0.0383011
0.615045,0.149158,0.02785275
0.590718,0.0493753,0.08560185
0.580411,-0.09232275,0.1099185
0.6027335,-0.1568515,0.1244695
0.6114305,-0.192148,0.131835
0.6172875,0.01197305,0.181498
0.624712,0.3100035,0.1450075
0.631791,0.277005,0.02141135
0.633549,0.2317845,-0.03080365
0.6193255,0.2140295,0.0501908
0.6010965,0.1302185,0.1281255
0.595937,-0.0266175,0.1217085
0.6089105,-0.1371865,-0.01253925
0.5936625,-0.321264,0.0074563
0.581696,-0.2981775,0.05120105
0.5696945,-0.220951,0.119965
0.562385,-0.02000355,0.163199
0.5427955,0.150649,0.233082
0.5378675,0.3693445,0.326956
0.599064,0.407271,0.153229
0.598917,0.475248,0.118809
0.60071,0.5019105,0.1086045
