"period","BA","DM","DO","DS","NA","OL","OT","PB","PE","PF","PH","PI","PL","PM","PP","RF","RM","RO","SF","SH","SO"
460,0,55,17,0,0,3,11,1,11,0,0,0,3,4,44,0,10,4,0,0,0
461,0,63,19,0,6,2,8,2,11,1,0,0,2,1,44,1,1,0,0,8,0
462,0,44,24,0,5,1,11,5,10,1,1,0,1,0,92,0,1,1,0,0,0
463,0,33,7,1,7,0,8,2,2,1,2,0,0,0,108,0,0,0,0,2,0
465,0,33,9,0,1,0,15,8,2,0,1,0,0,0,158,1,0,0,0,0,0
466,0,42,7,0,6,0,15,6,1,0,1,0,0,0,213,0,0,0,0,0,0
467,0,41,5,1,6,0,26,5,9,0,2,0,1,1,94,0,1,0,0,1,0
468,0,41,3,1,5,0,36,6,14,0,0,0,1,1,33,0,1,0,0,0,0
472,0,47,0,1,0,0,14,6,4,0,0,0,0,1,23,0,0,0,0,0,0
473,0,48,2,1,1,1,11,3,1,0,0,0,0,0,51,0,0,0,0,0,0
474,0,21,3,1,2,0,11,2,4,0,0,0,0,0,89,0,0,0,0,0,0
475,0,33,1,1,1,0,8,6,2,0,0,0,0,0,77,0,0,0,0,1,0
476,0,25,0,1,0,0,7,6,5,0,0,0,0,0,83,0,0,0,0,0,0
477,0,23,1,0,2,0,7,3,1,0,0,0,0,0,53,0,0,0,0,0,0
478,0,22,2,1,1,0,9,5,3,0,0,0,0,0,48,0,0,0,0,0,0
479,0,22,2,0,1,0,9,5,1,0,0,0,0,0,29,0,0,0,0,0,0
480,0,27,0,0,1,1,1,4,4,0,0,0,0,0,2,0,0,0,0,0,0
483,0,40,1,0,0,1,2,3,1,0,0,0,0,0,9,0,3,0,0,0,0
484,0,32,0,0,0,0,3,4,6,0,0,0,0,0,26,0,4,0,0,0,0
485,0,22,1,0,1,0,2,3,3,0,0,0,0,0,26,0,0,0,0,0,0
486,0,18,5,0,1,0,1,5,1,0,0,0,0,0,39,0,0,0,0,0,0
487,0,14,1,0,0,0,5,3,1,0,0,0,0,0,48,0,0,0,0,1,0
488,0,8,4,0,0,1,4,3,1,0,0,0,0,0,69,0,0,0,0,0,0
489,0,14,1,0,1,0,4,3,0,1,0,0,0,0,69,0,0,0,0,0,0
490,0,19,4,0,0,0,10,9,2,0,0,0,0,0,77,0,0,0,0,0,0
491,0,19,4,0,0,0,6,8,6,1,0,0,0,0,30,0,0,0,0,0,0
492,0,25,9,0,0,0,9,8,5,0,0,0,0,0,7,0,2,0,0,0,0
493,0,28,6,0,0,0,5,3,2,0,0,0,0,0,1,0,3,0,0,0,0
494,0,37,5,0,0,0,8,7,5,0,0,0,0,0,0,0,2,0,0,0,0
496,0,14,11,0,1,0,0,25,2,0,0,0,0,0,99,0,0,0,0,0,0
498,0,25,5,0,1,0,1,15,4,0,0,0,0,0,102,0,0,0,0,0,0
499,0,33,10,0,0,0,0,16,5,0,0,0,0,0,104,0,0,0,0,0,0
500,0,35,10,0,2,0,2,22,4,0,0,0,0,0,108,0,0,0,0,0,0
501,0,35,16,0,1,1,2,18,10,0,0,0,0,0,56,0,0,0,0,0,0
502,0,43,15,0,3,1,2,10,6,0,0,0,0,0,30,0,0,0,0,0,0
503,0,50,21,0,1,0,0,20,3,0,0,0,0,0,52,0,1,0,0,0,0
504,0,48,15,0,0,0,1,23,5,0,1,0,0,0,191,0,0,0,0,1,0
507,0,39,9,0,0,1,0,56,2,0,0,0,0,0,334,0,0,0,0,0,0
508,0,33,12,0,0,0,1,56,2,2,0,0,0,0,301,0,0,0,0,0,0
509,0,31,5,0,0,1,2,47,5,0,0,0,0,0,267,0,0,0,0,0,0
510,0,24,7,0,1,1,10,40,6,0,0,0,0,0,241,0,0,0,0,1,0
511,0,34,4,0,2,0,25,37,10,1,0,0,0,0,145,0,0,0,0,0,0
513,0,56,9,0,2,0,11,37,12,0,0,0,0,0,27,0,7,0,0,0,0
514,0,49,10,0,0,0,14,19,23,4,0,0,0,0,3,0,15,0,0,0,0
515,0,64,12,0,0,0,19,35,24,9,0,0,0,1,29,0,31,6,1,0,0
